Name,Surname,Faculty,StudyTime,Number,Birthday,Email,FatherName,MotherName
Tomasz,Nowak256,Informatyka dzienne po angielsku,Dzienne,4474,2000-02-12,256@pjwstk.edu.pl,Adam,Alina
Michał,Brzęczyszczykiewicz257,Informatyka dzienne,Dzienne,4454,2000-02-12,257@pjwstk.edu.pl,Adam,Alina
Patryk,Maciejewski258,Informatyka dzienne,Dzienne,4443,2000-02-12,258@pjwstk.edu.pl,Adam,Alina
Bhagirath,Jankowski259,Informatyka dzienne,Dzienne,4851,2000-02-12,259@pjwstk.edu.pl,Adam,Alina
Michał,Kowalski260,Informatyka dzienne,Dzienne,4579,2000-02-12,260@pjwstk.edu.pl,Adam,Alina
Marek,Nowak261,Informatyka dzienne,Dzienne,4461,2000-02-12,261@pjwstk.edu.pl,Adam,Alina
Przemysław,Brzęczyszczykiewicz262,Informatyka dzienne,Dzienne,4747,2000-02-12,262@pjwstk.edu.pl,Adam,Alina
Marcin,Maciejewski263,Informatyka dzienne,Dzienne,4762,2000-02-12,263@pjwstk.edu.pl,Adam,Alina
Zuzanna,Jankowski264,Zarządzanie informacją dzienne (kierunek Zarządzanie),Dzienne,4413,2000-02-12,264@pjwstk.edu.pl,Adam,Alina
Michał,Kowalski265,Informatyka dzienne,Dzienne,4490,2000-02-12,265@pjwstk.edu.pl,Adam,Alina
Wojciech,Nowak266,Informatyka dzienne po angielsku,Dzienne,4554,2000-02-12,266@pjwstk.edu.pl,Adam,Alina
Enkh-Amgalan,Brzęczyszczykiewicz267,Informatyka dzienne,Dzienne,4340,2000-02-12,267@pjwstk.edu.pl,Adam,Alina
Adrian,Maciejewski268,Informatyka dzienne,Dzienne,4586,2000-02-12,268@pjwstk.edu.pl,Adam,Alina
Bartosz,Jankowski269,Informatyka dzienne,Dzienne,4798,2000-02-12,269@pjwstk.edu.pl,Adam,Alina
Jakub,Kowalski270,Informatyka dzienne,Dzienne,4711,2000-02-12,270@pjwstk.edu.pl,Adam,Alina
Sebastian,Nowak271,Informatyka dzienne,Dzienne,4056,2000-02-12,271@pjwstk.edu.pl,Adam,Alina
Aleksandra,Brzęczyszczykiewicz272,Informatyka dzienne,Dzienne,4549,2000-02-12,272@pjwstk.edu.pl,Adam,Alina
Piotr,Maciejewski273,Informatyka dzienne,Dzienne,4618,2000-02-12,273@pjwstk.edu.pl,Adam,Alina
Adrian,Jankowski274,Informatyka dzienne,Dzienne,4530,2000-02-12,274@pjwstk.edu.pl,Adam,Alina
Andrzej,Kowalski275,Informatyka dzienne,Dzienne,4607,2000-02-12,275@pjwstk.edu.pl,Adam,Alina
Wojciech,Nowak276,Informatyka dzienne,Dzienne,4459,2000-02-12,276@pjwstk.edu.pl,Adam,Alina
Monika,Brzęczyszczykiewicz277,Informatyka dzienne po angielsku,Dzienne,4501,2000-02-12,277@pjwstk.edu.pl,Adam,Alina
Jan,Maciejewski278,Informatyka dzienne,Dzienne,4858,2000-02-12,278@pjwstk.edu.pl,Adam,Alina
Paweł,Jankowski279,Informatyka dzienne,Dzienne,4578,2000-02-12,279@pjwstk.edu.pl,Adam,Alina
Bartosz,Kowalski280,Informatyka dzienne,Dzienne,4555,2000-02-12,280@pjwstk.edu.pl,Adam,Alina
Agata,Nowak281,Informatyka dzienne,Dzienne,4589,2000-02-12,281@pjwstk.edu.pl,Adam,Alina
Matthew,Brzęczyszczykiewicz282,Informatyka dzienne,Dzienne,4945,2000-02-12,282@pjwstk.edu.pl,Adam,Alina
Piotr,Maciejewski283,Informatyka dzienne po angielsku,Dzienne,4556,2000-02-12,283@pjwstk.edu.pl,Adam,Alina
Grzegorz,Jankowski284,Informatyka dzienne po angielsku,Dzienne,4504,2000-02-12,284@pjwstk.edu.pl,Adam,Alina
Sebastian,Kowalski285,Informatyka dzienne,Dzienne,4505,2000-02-12,285@pjwstk.edu.pl,Adam,Alina
Filip,Nowak286,Informatyka dzienne,Dzienne,4105,2000-02-12,286@pjwstk.edu.pl,Adam,Alina
Jakub,Brzęczyszczykiewicz287,Informatyka dzienne,Dzienne,4487,2000-02-12,287@pjwstk.edu.pl,Adam,Alina
Artur,Maciejewski288,Informatyka dzienne,Dzienne,4498,2000-02-12,288@pjwstk.edu.pl,Adam,Alina
Piotr,Jankowski289,Informatyka dzienne,Dzienne,4471,2000-02-12,289@pjwstk.edu.pl,Adam,Alina
Małgorzata,Kowalski290,Informatyka dzienne,Dzienne,4855,2000-02-12,290@pjwstk.edu.pl,Adam,Alina
Arkadiusz,Nowak291,Informatyka dzienne,Dzienne,4752,2000-02-12,291@pjwstk.edu.pl,Adam,Alina
Jakub,Brzęczyszczykiewicz292,Informatyka dzienne,Dzienne,4770,2000-02-12,292@pjwstk.edu.pl,Adam,Alina
Adam,Maciejewski293,Informatyka dzienne,Dzienne,4476,2000-02-12,293@pjwstk.edu.pl,Adam,Alina
Tomasz,Jankowski294,Informatyka dzienne,Dzienne,4724,2000-02-12,294@pjwstk.edu.pl,Adam,Alina
Piotr,Kowalski295,Informatyka dzienne,Dzienne,4754,2000-02-12,295@pjwstk.edu.pl,Adam,Alina
Michał,Nowak296,Informatyka dzienne,Dzienne,4769,2000-02-12,296@pjwstk.edu.pl,Adam,Alina
Maciej,Brzęczyszczykiewicz297,Informatyka dzienne,Dzienne,4499,2000-02-12,297@pjwstk.edu.pl,Adam,Alina
Jakub,Maciejewski298,Informatyka dzienne,Dzienne,4733,2000-02-12,298@pjwstk.edu.pl,Adam,Alina
Kasper,Jankowski299,Informatyka dzienne,Dzienne,4584,2000-02-12,299@pjwstk.edu.pl,Adam,Alina
Krzysztof,Kowalski300,Informatyka dzienne,Dzienne,4514,2000-02-12,300@pjwstk.edu.pl,Adam,Alina
Michał,Nowak301,Informatyka dzienne,Dzienne,4448,2000-02-12,301@pjwstk.edu.pl,Adam,Alina
Paweł,Brzęczyszczykiewicz302,Informatyka dzienne,Dzienne,4664,2000-02-12,302@pjwstk.edu.pl,Adam,Alina
Katarzyna,Maciejewski303,Informatyka dzienne,Dzienne,4935,2000-02-12,303@pjwstk.edu.pl,Adam,Alina
Konrad,Jankowski304,Informatyka dzienne,Dzienne,4485,2000-02-12,304@pjwstk.edu.pl,Adam,Alina
Piotr,Kowalski305,Informatyka dzienne,Dzienne,4456,2000-02-12,305@pjwstk.edu.pl,Adam,Alina
Jan,Nowak306,Informatyka dzienne,Dzienne,4107,2000-02-12,306@pjwstk.edu.pl,Adam,Alina
Radosław,Brzęczyszczykiewicz307,Informatyka dzienne po angielsku,Dzienne,4482,2000-02-12,307@pjwstk.edu.pl,Adam,Alina
Kacper,Maciejewski308,Informatyka dzienne,Dzienne,4817,2000-02-12,308@pjwstk.edu.pl,Adam,Alina
Tomasz,Jankowski309,Informatyka dzienne,Dzienne,4765,2000-02-12,309@pjwstk.edu.pl,Adam,Alina
Lech,Kowalski310,Informatyka dzienne,Dzienne,4387,2000-02-12,310@pjwstk.edu.pl,Adam,Alina
Błażej,Nowak311,Informatyka dzienne po angielsku,Dzienne,4509,2000-02-12,311@pjwstk.edu.pl,Adam,Alina
Karol,Brzęczyszczykiewicz312,Informatyka dzienne,Dzienne,4609,2000-02-12,312@pjwstk.edu.pl,Adam,Alina
Paweł,Maciejewski313,Informatyka dzienne,Dzienne,4481,2000-02-12,313@pjwstk.edu.pl,Adam,Alina
Wojciech,Jankowski314,Informatyka dzienne po angielsku,Dzienne,4512,2000-02-12,314@pjwstk.edu.pl,Adam,Alina
Maciej,Kowalski315,Informatyka dzienne,Dzienne,4782,2000-02-12,315@pjwstk.edu.pl,Adam,Alina
Michał,Nowak316,Informatyka dzienne,Dzienne,4492,2000-02-12,316@pjwstk.edu.pl,Adam,Alina
Piotr,Brzęczyszczykiewicz317,Informatyka dzienne,Dzienne,4531,2000-02-12,317@pjwstk.edu.pl,Adam,Alina
Marcin,Maciejewski318,Informatyka dzienne po angielsku,Dzienne,4406,2000-02-12,318@pjwstk.edu.pl,Adam,Alina
Krzysztof,Jankowski319,Informatyka dzienne,Dzienne,4394,2000-02-12,319@pjwstk.edu.pl,Adam,Alina
Michał,Kowalski320,Informatyka internetowe magisterskie,Internetowe,4627,2000-02-12,320@pjwstk.edu.pl,Adam,Alina
Krzysztof,Nowak321,Informatyka dzienne,Dzienne,4830,2000-02-12,321@pjwstk.edu.pl,Adam,Alina
Adrian,Brzęczyszczykiewicz322,Informatyka dzienne,Dzienne,4486,2000-02-12,322@pjwstk.edu.pl,Adam,Alina
Mariusz,Maciejewski323,Informatyka dzienne po angielsku,Dzienne,4447,2000-02-12,323@pjwstk.edu.pl,Adam,Alina
Bartosz,Jankowski324,Informatyka dzienne po angielsku,Dzienne,4580,2000-02-12,324@pjwstk.edu.pl,Adam,Alina
Piotr,Kowalski325,Informatyka dzienne,Dzienne,4284,2000-02-12,325@pjwstk.edu.pl,Adam,Alina
Michał,Nowak326,Informatyka dzienne,Dzienne,4440,2000-02-12,326@pjwstk.edu.pl,Adam,Alina
Aleksander,Brzęczyszczykiewicz327,Informatyka dzienne po angielsku,Dzienne,4410,2000-02-12,327@pjwstk.edu.pl,Adam,Alina
Andrzej,Maciejewski328,Informatyka dzienne,Dzienne,4615,2000-02-12,328@pjwstk.edu.pl,Adam,Alina
Paweł,Jankowski329,Informatyka dzienne,Dzienne,4796,2000-02-12,329@pjwstk.edu.pl,Adam,Alina
Paweł,Kowalski330,Informatyka dzienne,Dzienne,4458,2000-02-12,330@pjwstk.edu.pl,Adam,Alina
Nakul,Brzęczyszczykiewicz332,Informatyka dzienne po angielsku,Dzienne,4942,2000-02-12,332@pjwstk.edu.pl,Adam,Alina
Tomoto,Maciejewski333,Informatyka dzienne,Dzienne,4614,2000-02-12,333@pjwstk.edu.pl,Adam,Alina
Krzysztof,Jankowski334,Informatyka dzienne,Dzienne,4822,2000-02-12,334@pjwstk.edu.pl,Adam,Alina
Adam,Kowalski335,Informatyka dzienne po angielsku,Dzienne,4433,2000-02-12,335@pjwstk.edu.pl,Adam,Alina
Jan,Nowak336,Informatyka dzienne,Dzienne,4557,2000-02-12,336@pjwstk.edu.pl,Adam,Alina
Gabriel,Brzęczyszczykiewicz337,Informatyka dzienne,Dzienne,4599,2000-02-12,337@pjwstk.edu.pl,Adam,Alina
Michał,Maciejewski338,Informatyka dzienne,Dzienne,4419,2000-02-12,338@pjwstk.edu.pl,Adam,Alina
Michał,Jankowski339,Informatyka dzienne,Dzienne,4828,2000-02-12,339@pjwstk.edu.pl,Adam,Alina
Kacper,Kowalski340,Informatyka dzienne,Dzienne,4460,2000-02-12,340@pjwstk.edu.pl,Adam,Alina
Adrian,Nowak341,Informatyka dzienne,Dzienne,4058,2000-02-12,341@pjwstk.edu.pl,Adam,Alina
Michał,Brzęczyszczykiewicz342,Informatyka dzienne po angielsku,Dzienne,4524,2000-02-12,342@pjwstk.edu.pl,Adam,Alina
Katarzyna,Maciejewski343,Informatyka dzienne,Dzienne,4588,2000-02-12,343@pjwstk.edu.pl,Adam,Alina
Piotr,Jankowski344,Informatyka dzienne,Dzienne,4743,2000-02-12,344@pjwstk.edu.pl,Adam,Alina
Karol,Kowalski345,Informatyka dzienne,Dzienne,4721,2000-02-12,345@pjwstk.edu.pl,Adam,Alina
Radosław,Nowak346,Informatyka dzienne po angielsku,Dzienne,4544,2000-02-12,346@pjwstk.edu.pl,Adam,Alina
Marco,Brzęczyszczykiewicz347,Informatyka dzienne,Dzienne,4426,2000-02-12,347@pjwstk.edu.pl,Adam,Alina
Jagoda,Maciejewski348,Informatyka dzienne,Dzienne,4532,2000-02-12,348@pjwstk.edu.pl,Adam,Alina
Tomasz,Jankowski349,Informatyka dzienne,Dzienne,4480,2000-02-12,349@pjwstk.edu.pl,Adam,Alina
Przemysław,Kowalski350,Informatyka dzienne,Dzienne,4441,2000-02-12,350@pjwstk.edu.pl,Adam,Alina
Michał,Nowak351,Informatyka dzienne,Dzienne,4523,2000-02-12,351@pjwstk.edu.pl,Adam,Alina
Bartosz,Brzęczyszczykiewicz352,Informatyka dzienne,Dzienne,4766,2000-02-12,352@pjwstk.edu.pl,Adam,Alina
Achut,Maciejewski353,Informatyka dzienne po angielsku,Dzienne,4941,2000-02-12,353@pjwstk.edu.pl,Adam,Alina
Aleksander,Jankowski354,Informatyka dzienne po angielsku,Dzienne,4647,2000-02-12,354@pjwstk.edu.pl,Adam,Alina
Jan,Kowalski355,Informatyka dzienne,Dzienne,4500,2000-02-12,355@pjwstk.edu.pl,Adam,Alina
Yuriy,Nowak356,Informatyka dzienne,Dzienne,4422,2000-02-12,356@pjwstk.edu.pl,Adam,Alina
Michał,Brzęczyszczykiewicz357,Informatyka dzienne po angielsku,Dzienne,4660,2000-02-12,357@pjwstk.edu.pl,Adam,Alina
Michał,Maciejewski358,Informatyka dzienne po angielsku,Dzienne,4521,2000-02-12,358@pjwstk.edu.pl,Adam,Alina
Piotr,Jankowski359,Informatyka dzienne,Dzienne,4585,2000-02-12,359@pjwstk.edu.pl,Adam,Alina
Mikołaj,Kowalski360,Informatyka dzienne,Dzienne,3081,2000-02-12,360@pjwstk.edu.pl,Adam,Alina
Dariusz,Nowak361,Informatyka dzienne,Dzienne,4710,2000-02-12,361@pjwstk.edu.pl,Adam,Alina
Anna,Brzęczyszczykiewicz362,Informatyka dzienne,Dzienne,4385,2000-02-12,362@pjwstk.edu.pl,Adam,Alina
Piotr,Maciejewski363,Informatyka dzienne,Dzienne,4529,2000-02-12,363@pjwstk.edu.pl,Adam,Alina
Michał,Jankowski364,Informatyka zaoczne,Zaoczne,4522,2000-02-12,364@pjwstk.edu.pl,Adam,Alina
Dawid,Kowalski365,Informatyka dzienne,Dzienne,4827,2000-02-12,365@pjwstk.edu.pl,Adam,Alina
Karol,Nowak366,Informatyka dzienne,Dzienne,4518,2000-02-12,366@pjwstk.edu.pl,Adam,Alina
Adrian,Brzęczyszczykiewicz367,Informatyka dzienne,Dzienne,4384,2000-02-12,367@pjwstk.edu.pl,Adam,Alina
Łukasz,Maciejewski368,Informatyka dzienne,Dzienne,4496,2000-02-12,368@pjwstk.edu.pl,Adam,Alina
Adam,Jankowski369,Informatyka dzienne,Dzienne,4750,2000-02-12,369@pjwstk.edu.pl,Adam,Alina
Arkadiusz,Kowalski370,Informatyka dzienne,Dzienne,4111,2000-02-12,370@pjwstk.edu.pl,Adam,Alina
Jakub,Nowak371,Informatyka dzienne,Dzienne,4484,2000-02-12,371@pjwstk.edu.pl,Adam,Alina
Michał,Brzęczyszczykiewicz372,Informatyka dzienne po angielsku,Dzienne,4483,2000-02-12,372@pjwstk.edu.pl,Adam,Alina
Tomasz,Maciejewski373,Informatyka dzienne,Dzienne,4751,2000-02-12,373@pjwstk.edu.pl,Adam,Alina
Radosław,Jankowski374,Informatyka dzienne,Dzienne,4528,2000-02-12,374@pjwstk.edu.pl,Adam,Alina
Paweł,Kowalski375,Informatyka dzienne,Dzienne,4533,2000-02-12,375@pjwstk.edu.pl,Adam,Alina
Przemysław,Nowak376,Informatyka dzienne,Dzienne,4814,2000-02-12,376@pjwstk.edu.pl,Adam,Alina
Adam,Brzęczyszczykiewicz377,Informatyka dzienne,Dzienne,4753,2000-02-12,377@pjwstk.edu.pl,Adam,Alina
Dawid,Maciejewski378,Informatyka dzienne,Dzienne,4520,2000-02-12,378@pjwstk.edu.pl,Adam,Alina
Adrian,Jankowski379,Informatyka dzienne,Dzienne,4837,2000-02-12,379@pjwstk.edu.pl,Adam,Alina
Sławomir,Kowalski380,Informatyka dzienne,Dzienne,4611,2000-02-12,380@pjwstk.edu.pl,Adam,Alina
Rafał,Nowak381,Informatyka dzienne,Dzienne,4616,2000-02-12,381@pjwstk.edu.pl,Adam,Alina
Agnieszka,Brzęczyszczykiewicz382,Informatyka dzienne po angielsku,Dzienne,4603,2000-02-12,382@pjwstk.edu.pl,Adam,Alina
Jahor,Patenka,Informatyka,Dzienne,22198,29-09-2002,egorpatenko@gmail.com,Aksana,Ihar
